Allocated,AllocatedCmodeTB,AllocatedGB,AllocatedTB,Areas,AutoDetected,AvailInodes,Available,AvailableGB,AvailableTB,BaR_MPX,BaR_Master,BaR_Max_Jobs,BaR_NFS_Client,BaR_Priority,BaR_STU,BaR_Special,BaR_Tier,BaR_Vol_By_Qtree,BusinessGroup,CIFS,CachedCells,Cell,CreatedBySTART,DNSName,DeduplicationStatus,Disk,DiskPool,DiskType,FileServer,InfoCollectionTime,InodesUtilization,IsCache,MaxUsageFactor,MountDir,MountName,NoBackup,OverAllocationAllowed,PercentSpaceSavedFromDeduplication,PhysicalDisks,Policies,Pool_1_Name,Pool_1_Protection,Pool_1_SizeGB,Pool_1_SizeTB,Pool_1_UsedGB,Pool_1_UsedPercent,Pool_1_UsedTB,Pool_2_Name,Pool_2_Protection,Pool_2_SizeGB,Pool_2_SizeTB,Pool_2_UsedGB,Pool_2_UsedPercent,Pool_2_UsedTB,Pool_3_Name,Pool_3_Protection,Pool_3_SizeGB,Pool_3_SizeTB,Pool_3_UsedGB,Pool_3_UsedPercent,Pool_3_UsedTB,Project,RaidType,Reserved,SetupTime,SharedPool,Size,SizeGB,SizeTB,SizeWithSnapshot,SizeWithSnapshotGB,SizeWithSnapshotTB,SlownessDuration1,SlownessDuration14,SlownessDuration30,SlownessDuration60,SlownessDuration7,SlownessEvents1,SlownessEvents14,SlownessEvents30,SlownessEvents60,SlownessEvents7,SnapMirrorSrc,SnapReserve,SnapSchedule,SnapShotUsage,SnapShotUsageGB,SnapShotUsageTB,SpaceSavedFromDeduplication,Status,Tier,TotalInodes,Type,Usage,UsageGB,UsageTB,UsageUpdateTime,UsedGB,UsedTB,VolumeType,avg_latency,cluster,isSnapmirrored,isSystem,other_latency,other_ops,read_data,read_latency,read_ops,total_ops,write_data,write_latency,write_ops
1320960,,1290.0,1.26,ibw_disks_mcg_no73lay_disk0001 ibw_disks_ibw_kits_p1271_02 ,true,29667151,0,0.0,0.0,1,,4,,0,,,1,false,,false,,ibw,false,,enabled,vol4,aggr0,,bwnap02a,04/14/2014 04:33:35,7,false,1.0,/nfs/site/stod,,false,false,36.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,04/28/2013 15:33:02,,1131520,1105.0,1.079,1331200,1300,1,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,134847,Active,2,31876689,NETAPP,239089,233.485,0.228,04/14/2014 04:33:35,233.485,0.228,flex,0.0,,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3404801,,3325.001,3.247,bw-eda_socenv_06 bw-eda_socenv_01 bw-eda_socenv_02 ibw_disks_emulation ibw_disks_mcg_snv_preval0003 bw-eda_socenv_03 bw-eda_socenv_05 ibw_disks_ibw_kits_mount ibw_disks_mcg_snv_preval0002 ibw_disks_ibw_kits_p1271 bw-eda_socenv_04 ,true,27723804,9778,9.549,0.009,1,,4,,0,,,1,false,,false,,ibw,false,,enabled,vol4,aggr0,,bwnap02b,04/14/2014 04:37:54,45,false,1.0,/nfs/site/stod,,false,false,44.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,04/28/2013 15:38:27,,3414579,3334.55,3.256,4017152,3923,3,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,928308,Active,2,49999987,NETAPP,1176589,1149.013,1.122,04/14/2014 04:37:54,1149.013,1.122,flex,0.0,,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2326538,,2272.01,2.219,bw-ctg_mtl_mcemu_tools_disk010 bw-ctg_mtl_mcemu_lab_disk009 bw-il_disk028 bw-ctg_mtl_mcemu_disk007 bw-ctg_mtl_mcemu_disk004 bw-il_disk011 bw-ctg_mtl_mcemu_disk003 bw-il_disk029 bw-il_disk020 bw-ctg_mtl_mcemu_disk006 bw-ctg_mtl_mcemu_synthesis_disk008 bw-il_disk012 bw-ctg_mtl_proj_mcemu ,false,21207349,918313,896.79,0.876,1,,4,,0,,,1,false,,false,,ibw,false,,enabled,vol4,aggr0,,bwnap03a,04/14/2014 04:27:23,33,false,1.165,/nfs/site/stod,,false,false,29.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,04/28/2013 15:30:46,,2785280,2720.0,2.656,3276800,3200,3,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,458336,Active,2,31876689,NETAPP,1107344,1081.391,1.056,04/14/2014 04:27:23,1081.391,1.056,flex,0.0,,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
512000,,500.0,0.488,ibw_disks_mcg_snv_rls ,false,31249209,117287,114.538,0.112,1,,4,,0,,,1,false,,false,,ibw,false,,enabled,vol5,aggr0,,bwnap01a,04/14/2014 04:38:09,2,false,1.2,/nfs/site/stod,,false,false,45.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,04/28/2013 15:36:44,,524406,512.115,0.5,616948,602,0,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,221011,Active,3,31876689,NETAPP,267064,260.805,0.255,04/14/2014 04:38:09,260.805,0.255,flex,0.0,,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
744548,,727.098,0.71,IBW_IT_Internal gen_adm_ec_global gen_adm_vas ibw_csd ibw_proj_acd_bin disk025 eda_data_disk0000 gen_adm_ssh gen_adm_ec_local gen_adm_start gen_platform gen_itec eda_data_disk0005 ,false,27310575,207608,202.742,0.198,1,,4,,0,,,1,false,,false,,ibw,false,,enabled,vol5,aggr0,,bwnap01b,04/14/2014 04:28:40,14,false,1.18,/nfs/site/stod,,false,false,29.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,04/28/2013 15:39:04,,806912,788.0,0.77,949308,927,0,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,145154,Active,3,31876689,NETAPP,343102,335.061,0.327,04/14/2014 04:28:40,335.061,0.327,flex,0.0,,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
727040,,710.0,0.693,ibw_disks_snv_gib_01 ibw_disks_ibw_kits_p1273_02 ibw_disks_snv_relip_02 ,true,28735400,23245,22.7,0.022,1,,4,,0,,,1,false,,false,,ibw,false,,enabled,vol5,aggr0,,bwnap02a,04/14/2014 04:30:57,18,false,1.0,/nfs/site/stod,,false,false,40.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,04/28/2013 15:33:02,,750285,732.7,0.716,882688,862,0,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,264007,Active,2,34999981,NETAPP,394340,385.098,0.376,04/14/2014 04:30:57,385.098,0.376,flex,0.0,,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2457600,,2400.0,2.344,ibw_disks_mcg_snv_pwrdel ibw_disks_mcg_snv_arch0002 ibw_disks_mcg_snv_arch0004 ibw_disks_mcg_snv_arch0003 ,true,29536654,0,0.0,0.0,1,,4,,0,,,1,false,,false,,ibw,false,,enabled,vol5,aggr0,,bwnap02b,04/14/2014 04:37:08,7,false,1.0,/nfs/site/stod,,false,false,23.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,04/28/2013 15:38:27,,2394470,2338.35,2.284,2817024,2751,2,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,99006,Active,2,31876689,NETAPP,316349,308.935,0.302,04/14/2014 04:37:08,308.935,0.302,flex,0.0,,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2488321,,2430.001,2.373,bw-il_disk004 bw-il_disk010 bw-il_disk013 bw-il_disk003 bw-ctg_mtl_msa_disk001 bw-il_disk023 an_umg_disk0206 bw-il_disk009 bw-ctg_mtl_msa_disk002 ,false,16695812,912505,891.118,0.87,1,,4,,0,,,1,false,,false,,ibw,false,,enabled,vol5,aggr0,,bwnap03a,04/14/2014 04:35:08,48,false,1.184,/nfs/site/stod,,false,false,27.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,04/28/2013 15:30:46,,2872320,2805.0,2.739,3379200,3300,3,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,528864,Active,2,31876689,NETAPP,1392968,1360.32,1.328,04/14/2014 04:35:08,1360.32,1.328,flex,0.0,,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1024000,,1000.0,0.977,ibw_disks_mcg_snv_preval0005_NOBACKUP ,false,31841632,205003,200.198,0.196,1,,4,,0,,,1,false,,false,,ibw,false,,enabled,vol6,aggr0,,bwnap01a,04/14/2014 04:32:02,0,false,1.199,/nfs/site/stod,,false,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,04/28/2013 15:36:44,,1025024,1001.0,0.978,1025024,1001,0,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,Active,3,31876689,NETAPP,7294,7.123,0.007,04/14/2014 04:32:02,7.123,0.007,flex,0.0,,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3384321,,3305.001,3.228,ibw_disks_coeenv0012 bw-mcd-inway_local ibw_disks_ccdo.soc.rtl.0 ibw_disks_mcg_coeenv73_workshop ,false,15666918,50973,49.778,0.049,1,,4,,0,,,1,false,,false,,ibw,false,,enabled,vol6,aggr0,,bwnap01b,04/14/2014 04:28:14,51,false,1.196,/nfs/site/stod,,false,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,04/28/2013 15:39:04,,2872320,2805.0,2.739,3379200,3300,3,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,0,Active,3,31876689,NETAPP,1144983,1118.147,1.092,04/14/2014 04:28:14,1118.147,1.092,flex,0.0,,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1236168,,1207.195,1.179,BW-DAP_DEG_WSM_WA015_ISC BW-DAP_DEG_WSM_WA001_ISC ibw-pve_gen_emu_0001 BW-DAP_DEG_nhm.models.1 BW-DAP_DEG_WSM_WA003_ISC nhm.tools.2 BW-DAP_DEG_WSM_proj_ear ibw-pve_emu nhm.models.5 valid.tests.5 ,true,22373742,465464,454.555,0.444,1,,4,,0,,,1,false,,false,,ibw,false,,enabled,vol6,aggr0,,bwnap02a,04/14/2014 04:35:23,30,false,1.0,/nfs/site/stod,,false,false,50.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,04/28/2013 15:33:02,,1701632,1661.75,1.623,2001920,1955,1,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,391058,Active,2,31876689,NETAPP,386716,377.652,0.369,04/14/2014 04:35:23,377.652,0.369,flex,0.0,,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2580480,,2520.0,2.461,ibw_disks_mcg_snv_rtl0002 ibw_disks_bw_mcg_socenv0003 ibw_disks_mcg_snv_rtl0001 ibw_disks_mcg_snv_rtl0003 ibw_disks_bw_mcg_socenv0002 ibw_disks_bw_mcg_socenv0001 ,true,6731309,13312,13.0,0.013,1,,4,,0,,,1,false,,false,,ibw,false,,enabled,vol6,aggr0,,bwnap02b,04/14/2014 04:38:54,79,false,1.0,/nfs/site/stod,,false,false,40.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,04/28/2013 15:38:27,,2593792,2533.0,2.474,3051520,2980,2,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,843325,Active,2,31876689,NETAPP,1217778,1189.236,1.161,04/14/2014 04:38:54,1189.236,1.161,flex,0.0,,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1937408,,1892.0,1.848,ibw_disks_ibw ibw_disks_bw-iag_cap_mnr-ivb_0013 ibw_disks_mnr.tools.1 ibw_disks_bw-iag_cap_mnr-ivb_0011 ibw_disks_mnr.models.100 ibw_disks_work_power-delivery ibw_disks_mnr.cad.2 ibw_disks_bw-iag_cap_mnr-ivb_repl-area ibw_disks_bw-iag_cap_mnr_0012 ,false,27871989,338688,330.75,0.323,1,,4,,0,,,1,false,,false,,ibw,false,,enabled,vol6,aggr0,,bwnap03a,04/14/2014 04:35:27,13,false,1.046,/nfs/site/stod,,false,false,45.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,04/28/2013 15:30:46,,2176000,2125.0,2.075,2560000,2500,2,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,99921,Active,2,31876689,NETAPP,121166,118.326,0.116,04/14/2014 04:35:27,118.326,0.116,flex,0.0,,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1966080,,1920.0,1.875,bw-mcd-snapm-inway ibw_proj_msocip ibw_disks_ipdb ,false,9878209,435180,424.98,0.415,1,,4,,0,,,1,false,,false,,ibw,false,,enabled,vol7,aggr0,,bwnap01a,04/14/2014 04:32:45,69,false,1.2,/nfs/site/stod,,false,false,45.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,04/28/2013 15:36:44,,2001050,1954.15,1.908,2354176,2299,2,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,754551,Active,3,31876689,NETAPP,896667,875.651,0.855,04/14/2014 04:32:45,875.651,0.855,flex,0.0,,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
512000,,500.0,0.488,bw-mcg-ibw_ccview_disk0001 ,false,31876571,102355,99.956,0.098,1,,4,,0,,,1,false,,false,,ibw,false,,enabled,vol7,aggr0,,bwnap01b,04/14/2014 04:34:37,0,false,1.159,/nfs/site/stod,,false,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,04/28/2013 15:39:04,,530074,517.65,0.506,623616,609,0,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,0,Active,3,31876689,NETAPP,174,0.17,0.0,04/14/2014 04:34:37,0.17,0.0,flex,0.0,,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
486400,,475.0,0.464,bw_cap_ibw_backend_common ibw_disks_snv_tools_01 eda_data_eda_socenv_08 eda_data_eda_socenv_09 ,true,26956982,33229,32.45,0.032,1,,4,,0,,,1,false,,false,,ibw,false,,enabled,vol7,aggr0,,bwnap02a,04/14/2014 04:34:05,15,false,1.0,/nfs/site/stod,,false,false,43.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,04/28/2013 15:33:02,,519629,507.45,0.496,611328,597,0,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,205854,Active,2,31876689,NETAPP,262212,256.066,0.25,04/14/2014 04:34:05,256.066,0.25,flex,0.0,,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1280001,,1250.001,1.221,ibw_disks_mcg_snv_ckt0002 ibw_disks_mcg_snv_itg0002 ibw_disks_mcg_snv_da0001 ibw_disks_mcg_snv_itg0003 ,true,29563139,0,0.0,0.0,1,,4,,0,,,1,false,,false,,ibw,false,,enabled,vol7,aggr0,,bwnap02b,04/14/2014 04:38:15,7,false,1.0,/nfs/site/stod,,false,false,38.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,04/28/2013 15:38:27,,981811,958.8,0.936,1155072,1128,1,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,195527,Active,2,31876689,NETAPP,314923,307.542,0.3,04/14/2014 04:38:15,307.542,0.3,flex,0.0,,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
513024,,501.0,0.489,ibw_disks_ccdo.soc.tests.000 ibw_disks_ccdo.hdk.ip_releases.000 ,false,29381974,409591,399.991,0.391,1,,4,,0,,,1,false,,false,,ibw,false,,disabled,vol8,aggr0,,bwnap01a,04/14/2014 04:33:47,8,false,1.187,/nfs/site/stod,,false,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,04/28/2013 15:36:44,,777267,759.05,0.741,914432,893,0,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,0,Active,3,31876689,NETAPP,143969,140.595,0.137,04/14/2014 04:33:47,140.595,0.137,flex,0.0,,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
614500,,600.098,0.586,ibw_proj_libdev bw-mcd-snapm-inway_arch test1 ,false,19400459,15321,14.962,0.015,1,,4,,0,,,1,false,,false,,ibw,false,,enabled,vol8,aggr0,,bwnap01b,04/14/2014 04:32:30,17,false,1.2,/nfs/site/stod,,false,false,40.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,04/28/2013 15:39:04,,524851,512.55,0.501,617472,603,0,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,158876,Active,3,23471714,NETAPP,232373,226.927,0.222,04/14/2014 04:32:30,226.927,0.222,flex,0.0,,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
512000,,500.0,0.488,ibw_disks_AVN_EMU_USER_001 ,true,27926604,28518,27.85,0.027,1,,4,,0,,,1,false,,false,,ibw,false,,enabled,vol8,aggr0,,bwnap02a,04/14/2014 04:27:46,12,false,1.0,/nfs/site/stod,,false,false,12.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,04/28/2013 15:33:02,,540518,527.85,0.515,635904,621,0,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,48703,Active,2,31876689,NETAPP,354325,346.021,0.338,04/14/2014 04:27:46,346.021,0.338,flex,0.0,,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1024000,,1000.0,0.977,ibw_disks_mcg_snv_preval0004_NOBACKUP ,true,31693680,1024,1.0,0.001,1,,4,,0,,,1,false,,false,,ibw,false,,enabled,vol8,aggr0,,bwnap02b,04/14/2014 04:29:15,1,false,1.0,/nfs/site/stod,,false,false,16.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,04/28/2013 15:38:27,,1025024,1001.0,0.978,1025024,1001,0,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,6985,Active,2,31876689,NETAPP,34379,33.573,0.033,04/14/2014 04:29:15,33.573,0.033,flex,0.0,,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
540775,,528.101,0.516,ibw_disks_mcg_crc_ccdo ibw_disks_ccdo.nbfeederslogs.000 ibw_disks_mcg_snv_itg0006 ibw_disks_mcg_crc_valcov0001 ,false,31796162,87310,85.264,0.083,1,,4,,0,,,1,false,,false,,ibw,false,,enabled,vol9,aggr0,,bwnap01b,04/14/2014 04:28:27,0,false,1.095,/nfs/site/stod,,false,false,31.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,04/28/2013 15:39:04,,573594,560.15,0.547,674816,659,0,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,54599,Active,3,31876689,NETAPP,117226,114.479,0.112,04/14/2014 04:28:27,114.479,0.112,flex,0.0,,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1587400,,1550.195,1.514,wsm.nobackup.01 BW-DAP_DEG_WSM_WA021 wsm.nobackup.02 BW-DAP_DEG_WSM_WA005_ISC BW-DAP_DEG_WSM_WA004_ISC BW-DAP_DEG_WSM_WA016_ISC ,true,21152900,3691,3.604,0.004,1,,4,,0,,,1,false,,false,,ibw,false,,disabled,vol9,aggr0,,bwnap02a,04/14/2014 04:33:58,34,false,1.0,/nfs/site/stod,,false,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,04/28/2013 15:33:03,,1591091,1553.8,1.517,1871872,1828,1,0,0,0,0,0,0,0,0,0,0,,15,,0.0,0.0,0.0,0,Active,2,31876689,NETAPP,346062,337.951,0.33,04/14/2014 04:33:58,337.951,0.33,flex,0.0,,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
512000,,500.0,0.488,bw-mcd-inway_scratch ,true,17899421,0,0.0,0.0,1,,4,,0,,,1,false,,false,,ibw,false,,enabled,vol9,aggr0,,bwnap02b,04/14/2014 04:30:05,0,false,1.0,/nfs/site/stod,,false,false,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,raid_dp,0,04/28/2013 15:38:27,,505856,494.0,0.482,505856,494,0,0,0,0,0,0,0,0,0,0,0,,0,,0.0,0.0,0.0,0,Active,2,17899520,NETAPP,22,0.021,0.0,04/14/2014 04:30:05,0.021,0.0,flex,0.0,,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
